,x1,x2,x3,y1,y2,y3
0,2733,9846,3265,4860,9226,7892
1,4374,5875,6745,3469,706,2600
2,2223,7769,2898,9894,538,6217
3,6922,6037,2164,5073,4852,7878
4,2047,1872,7600,2497,8292,756
5,798,660,3220,8616,7457,3338
6,2746,4736,8737,6688,715,2293
7,8344,1208,6173,8995,7222,6022
8,3623,3561,8949,1642,4985,4354
9,8623,7251,4188,2660,9782,2957
10,2252,4421,7109,1072,5252,7013
11,9397,3919,9360,1685,7099,2958
12,4470,8753,9798,5796,1473,7264
13,7366,8449,6002,3763,9009,2436
14,1635,974,4465,8394,2419,3456
15,6168,5820,6522,6243,7743,9124
16,6739,2788,7317,4306,2611,5532
17,6927,7205,6923,4183,308,5303
18,1153,6951,8468,5295,1209,2493
19,8830,771,8287,5996,2345,3092
20,3913,1435,6595,5369,8373,7149
21,7998,3855,8033,8132,4846,5117
22,3534,2938,9838,4940,9745,3225
23,5022,1135,26,9681,957,1914
24,2935,9662,2722,929,5628,6266
25,5447,470,8718,1864,1721,5273
26,592,6186,2323,208,4263,3422
27,5250,8409,8217,5104,7940,2283
28,1741,6119,5847,3782,2776,2604
29,7180,6357,1163,624,8963,4052
30,1242,9014,4404,1199,2998,5662
31,808,2122,8068,3887,8923,6067
32,9988,1824,200,1448,5182,5209
33,6178,4864,6181,1793,1484,8390
34,895,5375,137,6274,9585,3420
35,169,6005,2853,9754,4420,8040
36,8701,3187,5919,5150,1778,3362
37,8339,5394,4318,4606,2563,6214
38,9101,4653,6236,424,6855,968
39,4371,9053,6188,5204,434,6238
40,1430,2547,330,3613,8402,6762
41,3969,8151,1041,6251,8357,8799
42,7705,6773,5312,9412,9524,9145
43,6012,2799,8353,2196,4681,6600
44,9304,3086,5714,5241,733,5029
45,8474,7595,4567,9501,7445,3397
46,5348,7035,596,648,574,6798
47,5638,8449,5260,9221,6568,4445
48,2990,587,5103,7602,740,4883
49,5411,438,3899,1848,9725,1021
50,6931,942,8642,5611,9009,2108
51,9883,4260,946,8394,7469,1806
52,1863,8743,3752,9865,2041,904
53,8697,8016,5897,7943,7378,9672
54,5594,3129,7027,3822,2712,8473
55,1029,2661,2354,5663,7735,8346
56,7522,1054,2978,5492,3894,2680
57,4951,2666,3058,6839,3969,852
58,9593,5029,3794,7317,8054,7153
59,3332,8319,5931,8770,5653,805
60,5445,3025,113,1968,651,4334
61,1385,64,4000,3989,2503,3517
62,2672,2388,5395,3442,8011,1964
63,5764,2957,7397,3899,3970,7297
64,4904,8891,293,9030,4100,5347
65,7034,4777,7453,6981,4123,737
66,4462,1972,8390,1672,607,2121
67,6997,9352,1732,7789,3396,6247
68,8021,8788,5344,2305,3420,1132
69,2004,7645,1708,9775,8193,7529
70,692,2548,2684,8536,6996,6863
71,6177,6599,5986,4525,828,6835
72,3205,94,2468,3779,405,5038
73,9402,376,3946,498,7667,7374
74,9631,8931,4516,6730,3291,1563
75,8653,3124,1839,9661,6960,4737
76,3467,4044,6030,4703,5639,7854
77,5535,6311,2988,4691,3293,2882
78,5802,7283,8527,8934,9436,8293
79,2464,7677,8367,8798,7795,3746
80,4877,3809,9962,9041,9283,5577
81,2174,9355,4721,6875,1180,8889
82,7289,2497,2758,7459,4048,2052
83,6845,3311,7846,1748,7829,9095
84,3869,4724,4999,4931,605,8157
85,3687,9062,3452,3782,9546,101
86,4791,9038,6038,5628,8864,3666
87,3108,8430,6911,9498,22,6574
88,1254,6103,8593,9199,3192,9894
89,8064,1735,6541,3419,8779,5047
90,7247,9023,9801,3206,5291,4548
91,6283,4851,1338,3548,388,5246
92,3923,1222,1925,7186,8902,8640
93,351,8857,3716,8617,4261,7739
94,9394,3512,674,1939,8034,8946
95,7304,1974,8530,5278,7971,116
96,5720,8044,8170,5697,3405,4243
97,2821,1800,2692,9265,6438,9710
98,9777,6254,4079,5406,4612,8267
99,6635,6008,3605,3281,5163,5619
100,29,1435,2904,3253,6449,9831
101,8970,7427,9078,613,4187,9285
102,8810,9739,4109,5737,4264,9121
103,9595,9115,100,7386,2355,5909
104,1609,5395,9113,7720,285,1
105,4804,5852,2964,9379,2099,4967
106,2069,6828,5605,6510,7875,8418
107,7821,1808,3191,1933,3974,267
108,5383,8807,9558,2419,6835,7501
109,4766,5642,8820,9161,4486,6773
110,8374,2284,4290,6733,121,8718
111,223,3677,4333,3633,9769,9115
112,7327,7558,2545,6433,63,6491
113,2024,8343,8596,2438,2853,128
114,1509,9990,2509,7323,9300,2023
115,9352,3253,593,6558,1025,3800
116,4670,2372,9674,7765,117,8934
117,7936,825,7097,6705,5266,8122
118,3594,5311,8935,7375,8610,2277
119,1864,7487,8200,6654,8983,1891
120,9975,1617,9372,4592,627,6104
121,5967,8991,2139,6820,7240,7022
122,4518,8630,6246,7009,1746,8293
123,1410,766,5278,4998,8145,4327
124,6057,2711,3103,6676,9989,4757
125,7019,2635,124,6461,1630,5673
126,9426,1321,2539,9695,2590,7775
127,7407,4479,7012,7336,7838,8701
128,3138,1409,1112,3878,5488,4826
129,1528,9318,1322,3953,3116,1135
130,3526,4471,2964,6896,8076,8072
131,4379,8753,2743,4705,4453,6744
132,9622,5631,2563,7435,3367,7079
133,8805,4546,9846,572,3749,902
134,2310,6183,6233,5840,6515,9482
135,7301,3097,9823,3459,8020,3972
136,3662,1292,8590,2533,2130,9371
137,1712,5803,8059,2490,1170,4058
138,6614,184,4208,5347,2828,6242
139,2287,5132,7138,5218,5472,2350
140,2823,2599,4148,9233,8088,4868
141,1883,7803,5534,646,5498,4040
142,6928,6991,9636,6325,5480,6408
143,762,9140,3998,4792,626,8588
144,5838,3384,2556,4601,5306,6759
145,7763,3309,166,1416,1822,9295
146,524,7229,8296,700,6274,449
147,8147,3468,6518,3088,132,214
148,3357,1615,2928,9026,4941,1292
149,9498,1384,9051,4846,5539,3071
150,657,2594,3106,7341,1511,9001
151,1131,596,4851,1441,5016,325
152,5536,8855,7233,7910,80,8276
153,6928,5131,5621,9834,9041,1732
154,1361,5441,9346,364,4563,2387
155,8890,3479,7952,9104,3400,4410
156,2875,2318,6035,79,8143,5909
157,5704,7414,3164,6189,7952,1624
158,6092,1614,8703,7582,5728,7813
159,5042,2392,7889,7210,9691,1777
160,9411,7088,2322,1345,237,2128
161,6219,1187,6823,3063,5782,7971
162,8566,2475,9600,612,6906,3996
163,2353,5504,1675,9490,6916,7782
164,5727,1660,7327,5324,3550,7485
165,6836,6389,244,2582,3216,2801
166,6411,1682,3048,798,7364,4561
167,2275,8638,9317,1656,2423,1782
168,6438,1308,5719,1632,3385,6942
169,2016,5539,8379,6016,3967,4050
170,5597,7825,5692,1005,5128,3797
171,4844,3294,1065,8405,9326,4200
172,8773,8687,7117,9080,4081,2597
173,166,8927,374,9711,7460,6065
174,5682,3258,4362,6195,9393,8178
175,2548,5157,7455,5747,7316,36
176,4879,6174,61,7506,6980,1058
177,4532,3959,1436,3301,8249,6422
178,3819,7499,2590,958,9787,5913
179,4211,6593,3941,770,4355,1859
180,3835,5581,3743,1576,5710,2994
181,1307,1165,3314,961,3493,3947
182,6433,9727,7453,2781,1230,6704
183,9526,9927,4746,3600,6931,1182
184,3005,2515,6787,2084,3348,3985
185,3608,7821,4452,7022,9923,6933
186,2989,2087,7211,7115,363,4649
187,1904,1460,6948,543,1800,7129
188,240,7316,2894,6120,5945,6118
189,7624,61,8217,3437,7464,368
190,4213,4113,6363,9007,7393,2655
191,1877,3864,3728,4269,5240,1592
192,6446,7139,3800,433,5510,8570
193,4328,882,1821,2117,5885,371
194,7074,7652,9777,5220,8154,1636
195,130,4296,9317,2638,7789,3251
196,1436,4193,1580,3860,6499,1326
197,8293,4433,4986,7084,6721,373
198,3169,1507,6425,9219,6654,3528
199,2252,244,375,4162,2513,6515
200,6000,6342,8994,5251,4472,3984
201,4936,2029,6942,1444,2786,946
202,849,320,7641,9659,5371,4670
203,3179,7442,2094,5089,9791,3095
204,7783,1357,760,4497,3388,1341
205,5786,5263,878,7998,82,2247
206,4595,4275,3671,6326,9995,9631
