,x1,x2,y1,y2
0,68368,43667,42713,45991
1,21343,96039,97739,42093
2,86393,55126,80571,81066
3,48700,39612,52720,80286
4,17189,32330,19083,89788
5,82557,93105,7021,38904
6,67799,70708,37719,7977
7,84066,1971,73235,2596
8,48054,24775,32021,99159
9,897,49911,68855,80882
10,90635,81957,52589,84765
11,41604,49966,84312,96866
12,11823,43990,17691,58246
13,92388,59400,89241,71657
14,20106,3660,90968,61813
15,96691,45544,46622,87004
16,20837,28747,61453,92317
17,80263,12234,60635,47983
18,86207,63460,51911,9881
19,19440,27357,16398,12472
20,4520,83091,62179,79960
21,7112,9496,4018,9459
22,44359,23582,15227,37337
23,79801,8852,80141,71431
24,50724,89283,40233,93890
25,55253,62856,91028,81857
26,84455,48782,66609,86484
27,75851,76793,24877,13924
28,2518,12943,78878,36323
29,61670,6621,88262,56994
30,74759,97090,14354,52039
31,89336,37173,23410,31885
32,64670,80677,56456,23406
33,37050,78796,92271,98711
34,79028,80004,70938,34020
35,88970,92748,79228,90849
36,33638,81511,8386,18828
37,13740,68727,45763,4012
38,50686,72230,21852,59815
39,89168,8097,53106,40900
40,15720,70481,92399,54368
41,69169,68573,91857,42612
42,19708,70657,92409,99538
43,17440,2013,52186,13529
44,14007,35589,10188,15688
45,38495,60255,38314,569
46,43395,74353,34588,38140
47,17075,16012,28186,82227
48,15215,80083,52673,94301
49,64323,11152,15841,57468
50,94375,44086,5203,35150
51,1840,55370,12679,71482
52,47905,20265,2875,84623
53,30852,89199,79564,71992
54,34030,46874,28751,62985
55,16097,65280,99027,97868
56,74598,63103,86071,34109
57,43771,70039,17682,29944
58,85017,38529,81575,76423
59,82827,60909,2221,45453
60,90087,3986,41790,88086
61,80848,75623,82219,99851
62,5281,43449,76678,43014
63,70844,71813,63820,70499
64,47494,74025,994,63513
65,48308,30242,33004,26913
66,39141,59701,91604,79324
67,69055,82188,6104,35720
68,42621,86439,57291,57952
69,80775,22402,87169,83797
70,52613,54645,80312,21089
71,2662,22697,25584,78809
72,93025,46502,93907,11705
73,98827,65583,93946,61173
74,99371,22671,54455,33301
75,78733,88257,83449,44989
76,84566,96836,79935,82349
77,85632,16463,24885,56013
78,63518,36836,90170,97955
79,66676,71886,57608,90818
80,7804,72408,42279,26007
81,45292,9244,27841,62651
82,2295,4780,55851,25787
83,52337,97694,38108,10200
84,60443,80804,43823,99136
85,54280,57725,45956,89614
86,77682,21050,9600,98358
87,52648,46714,23518,49847
88,33515,12332,17057,57700
89,27884,44339,98329,39435
90,37312,52241,62846,33454
91,79768,54354,7701,27967
92,11159,66375,95181,21366
93,93657,5510,48791,48898
94,82457,69534,94223,18331
95,9824,23414,66577,27579
96,25125,11690,54862,76953
97,74644,31938,18591,14772
98,91902,95968,86279,11934
99,82965,62670,74029,56720
100,83825,48093,67498,66539
101,96052,15452,64122,90716
102,90035,14397,5996,12103
103,73578,23861,42539,81958
104,95904,52380,36689,84731
105,8572,66664,35528,62544
106,67989,92603,87682,7834
107,90365,28536,24005,27081
108,76573,45563,97791,66689
109,19461,21975,36761,2779
110,76823,70586,31322,68301
111,85077,30957,39706,951
112,5128,20277,89336,40020
