,x1,x2,x3,y1,y2,y3
0,2832,3037,4152,8053,3609,1899
1,9945,2912,4027,7928,2791,1081
2,3364,1958,3073,6974,2719,1009
3,4959,3569,4684,8585,3687,1977
4,9325,1338,6279,6354,2989,1279
5,7991,4678,2453,8789,2233,523
6,4473,3773,5793,6026,3734,2024
7,5974,1010,4888,7920,3784,2074
8,6844,2904,2125,7456,2661,951
9,3568,2440,4019,7543,4091,2381
10,805,2527,3555,8218,4178,1947
11,2699,3202,3642,7022,3657,783
12,2322,2006,4317,5858,2493,2366
13,7868,842,3121,8214,4076,2186
14,2997,3198,1957,7484,3896,2409
15,9993,2468,4313,7367,4119,1222
16,637,2351,3583,7192,2932,1001
17,6316,2176,6271,7817,2711,2292
18,7021,2801,3466,5420,4002,2117
19,6136,404,3291,7329,3827,345
20,2263,2313,3916,6076,2055,2254
21,5172,1060,1519,6118,3964,1001
22,4951,1102,3428,5980,2711,1043
23,7977,964,2175,8540,2753,905
24,2146,3524,2217,5744,2615,669
25,1971,728,2079,8658,2379,885
26,7699,3642,4639,8066,2595,790
27,2596,3050,1843,5865,2500,960
28,8391,849,4757,6035,2670,397
29,855,1019,4165,7613,4248,1453
30,897,2597,6155,5472,2107,2322
31,759,456,1964,8044,3163,1048
32,3319,3028,2134,8852,4032,2422
33,8715,3836,3712,8251,2758,2422
34,7556,3235,1571,6528,4132,2202
35,3437,1512,4143,6123,4132,2171
36,2845,1107,4951,7497,3912,1002
37,4835,2481,4350,7497,3881,519
38,8836,2481,2627,7277,2712,634
39,6787,2261,2222,8943,2229,1887
40,814,3927,3596,8881,2344,1712
41,2392,3865,3596,6077,3597,1134
42,8443,1061,3376,6962,3422,503
43,1307,4674,5042,8435,2844,1591
44,6272,4789,4980,9392,2213,2351
45,9094,1946,2176,9330,3301,676
46,7321,3419,5789,7426,4061,337
47,6121,4658,5904,9263,4295,2166
48,3722,4376,3061,8512,2386,1835
49,3660,4314,4534,5751,2047,330
50,9048,2410,5773,9508,3876,570
51,1741,4247,5491,7767,3545,1020
52,5084,3496,5429,7980,2040,1317
53,4453,735,3525,6910,4207,885
54,8722,4492,5362,8277,2280,2282
55,7350,2751,4611,8002,2730,1401
56,4287,2964,1850,9501,3027,1218
57,2759,1894,5607,7572,2595,1450
58,9881,3261,3866,6392,3992,2270
59,3056,2986,4079,6525,3111,1413
60,2351,4485,3009,9239,2928,1930
61,4520,2556,4376,6488,3160,619
62,7208,4725,4101,7005,3980,2123
63,1171,1376,5600,8620,3123,806
64,5351,1509,3671,8088,3640,1575
65,7112,4223,5840,8278,2329,1851
66,9496,1472,6290,5881,3833,1945
67,4018,1989,2491,6926,2516,1718
68,9459,3604,6155,6793,3285,502
69,1784,3072,2624,8999,3561,2151
70,7198,3262,5338,5577,4173,1562
71,3057,4774,2587,9083,3655,2200
72,4569,865,3104,7275,3428,1062
73,8852,1910,4719,6137,2212,1880
74,9897,1777,4187,7756,3861,1219
75,5895,3983,4377,6955,3272,614
76,1572,561,5889,6294,3910,2269
77,7363,4067,1980,7344,2772,447
78,7465,2259,3025,8286,3590,1782
79,8548,1121,2892,5522,2929,2176
80,6101,2740,5098,7752,2324,801
81,3862,1939,1676,7739,3979,1200
82,9108,1278,5182,8776,2157,2317
83,2535,4769,3374,9547,3492,1969
84,1734,2328,2236,6252,3886,376
85,1073,3270,3855,7308,2511,2392
86,4564,506,3054,8108,2910,1177
87,8493,2736,2393,7931,4027,2417
88,2518,2723,5884,9503,3679,2233
89,3555,4956,3443,7380,2086,2212
90,6267,3760,4385,5628,4102,455
91,5919,4531,1621,6473,2887,1681
92,6621,1236,3851,5596,4127,332
93,6342,2292,3838,6529,3943,1118
94,7842,3092,6071,7813,3922,2305
95,9223,4610,4875,7857,2165,553
96,6838,2915,5646,5958,3391,1350
97,2887,4487,2351,6091,2042,2326
98,7416,2364,3407,5415,2828,1452
99,4405,612,4207,8619,4015,1398
100,2710,1457,5725,7665,2263,521
101,5631,580,4030,8412,3060,1444
102,7026,1513,5602,9233,4036,1824
103,7304,2797,3479,6755,3162,1641
104,7022,2841,1727,5501,3108,1454
105,4282,942,2572,7692,2231,1550
106,407,1075,1695,9175,3154,883
107,5402,399,2628,7508,3534,1016
108,1252,3603,3912,7967,3351,340
109,7050,2649,3956,8854,3164,2145
110,8567,3396,2057,8258,4290,2150
111,5394,4217,2190,6966,3260,1598
112,1308,1739,1514,6873,2593,853
113,2592,485,4718,8545,2726,1680
114,8929,2676,3764,7518,2050,1518
115,870,4159,4511,6455,3855,426
116,8386,2492,6123,5346,3860,995
117,6095,2951,5332,6809,4300,2433
118,2444,3838,2854,6277,3308,1266
119,3191,3242,1600,7234,2563,1891
120,4012,1950,3791,8255,3390,1089
121,1534,1857,5274,6790,3228,1798
122,6694,3529,6265,8042,2136,1171
123,5468,2502,3607,7217,2705,1380
124,8472,1439,4066,6249,4143,271
125,7248,330,4953,8132,2976,1734
126,8097,1793,4357,5790,3601,1202
127,3954,1261,3065,7656,2799,2159
128,8132,2218,2972,5846,3508,1387
129,8231,3239,4644,7184,2881,1715
130,4945,1774,3617,7041,4153,1865
131,5216,3026,2554,5912,3090,2142
132,3633,2201,1445,7643,1981,1174
133,3037,1233,2908,8831,3444,1777
134,9937,3116,2376,5528,2912,2415
135,5039,774,3333,9583,3869,1596
136,9844,2640,4354,8742,3097,715
137,3324,830,2889,9410,3425,771
138,5121,2168,4141,7231,3575,2109
139,1234,2025,3316,8181,3852,1966
140,125,896,2348,5537,2884,1422
141,9780,2627,4231,5345,3487,837
142,1056,3815,1889,9484,4125,2335
143,2013,512,3755,8347,3306,453
144,3034,4567,1945,7603,2425,412
145,9761,3726,3283,7061,4291,2405
146,2821,4394,3140,9102,2481,1399
147,1028,2215,2011,8096,3819,2156
148,5727,3165,3742,7924,3676,462
149,6365,521,4930,6483,3132,270
150,5546,329,1627,9396,2547,313
151,569,4468,5682,5944,4045,1253
152,8817,3331,4841,6091,4278,1986
153,1963,2587,5509,9372,2163,2268
154,1820,2045,3330,6562,2122,537
155,5372,4692,4280,8032,4115,1996
156,691,4086,1636,6142,3109,1268
157,6285,3080,1444,6519,3866,2326
158,2422,2908,5583,8318,2172,1886
159,307,1467,4446,7916,1980,1408
160,4362,4380,3702,6128,2023,1964
161,3521,928,3160,8786,2963,1691
162,5349,1075,5807,7442,4238,869
163,8508,4356,5201,9207,3696,1016
164,8316,1546,4195,6051,3978,1809
165,5203,3016,4023,7116,2247,1487
166,8039,1126,2582,7144,3706,1067
167,2382,4708,5495,8787,2978,553
168,1840,1503,2043,8932,4036,1444
169,6218,3302,2190,5520,3596,1418
170,5946,2900,5471,6768,4216,1811
171,3881,1112,2661,7710,3118,1053
172,2875,3770,4131,8437,3674,2367
173,2703,2426,2241,8171,3401,543
174,7279,4698,5823,7275,2579,976
175,6456,4191,2618,7113,2726,2216
176,1262,1035,4417,6804,3519,2041
177,723,2100,4015,5518,3197,2069
178,9062,2128,2227,6215,2777,675
179,4151,3771,4885,5457,2263,445
180,1341,3916,3541,7558,3154,1693
181,9113,4830,5813,7578,3128,1331
182,4503,504,5306,6713,3521,1111
183,1298,1752,2150,8740,2763,2200
184,3097,2694,3215,5489,4077,1358
185,5761,3421,3243,8173,2253,2327
186,907,3155,4886,9593,2686,1013
187,2221,2259,5031,6882,3926,2330
188,8167,2097,5945,5829,3751,2038
189,3986,1788,1619,8507,3779,1729
190,9022,502,2867,7098,2385,443
191,6166,1199,3809,8682,2155,1140
192,1923,441,4536,5467,3403,2219
193,299,2542,4270,7883,3041,1524
194,1547,2562,3374,6229,2821,1716
195,5281,1697,6283,8134,3910,382
196,5308,3724,3212,9016,3068,2423
197,6277,473,2903,8734,4037,1638
198,4963,3157,1617,5744,4236,1646
199,6280,4577,2314,8944,2723,414
200,1892,1866,1556,9055,4040,2154
201,1583,4724,3657,8807,3748,422
202,8489,813,3677,9050,3439,1807
