index,x1,x2,x3,x4,y1,y2,y3,y4
0,2733,2608,1654,3265,4932,4860,1034,4374
1,3469,706,2600,2136,2223,2898,1702,538
2,2894,2164,4852,2047,1872,2497,100,2009
3,756,798,660,3220,424,3338,2746,4736
4,545,715,2293,152,2724,3532,2931,1208
5,803,2177,2177,1957,3623,3561,757,4370
6,4485,1642,3115,4985,4354,4072,4010,2106
7,3943,3192,431,4188,2447,2660,1590,2957
8,2682,4181,2252,4421,4871,1072,4736,1205
9,3919,1168,1685,3300,2768,2958,4470,561
10,1606,1473,3679,257,3763,1955,817,2436
11,1635,974,4465,2024,2966,202,2432,2419
12,4652,3456,4227,932,1988,2788,4306,2611
13,4183,4969,2060,308,1153,276,1209,2493
14,2537,638,771,95,3299,2345,3092,4704
15,3913,1435,181,2372,3855,4846,2188,2647
16,3534,2938,1646,4940,1553,3225,2198,1135
17,26,1489,957,1914,2935,1470,2722,1897
18,929,2812,470,2336,526,1864,1721,592
19,2323,3511,208,4263,3422,4090,1911,2861
20,217,25,4164,3027,2283,1741,4388,3782
21,2776,2604,1163,4076,624,771,4052,1242
22,2712,822,4404,1199,2998,2596,808,3466
23,2122,4394,3887,731,1796,1824,3467,3612
24,4526,200,1448,2390,4962,3117,2851,1955
25,4864,1793,1484,198,895,137,2238,2258
26,1393,3420,169,2853,4273,1562,4420,509
27,3187,1778,3362,147,4318,4606,2563,909
28,4653,4982,2814,3696,3414,424,3624,3735
29,3487,3730,968,4371,861,434,4906,1430
30,4298,3930,2547,330,3613,210,3969,1041
31,165,607,1220,1332,4233,953,4956,3166
32,2799,161,2196,4681,1112,3086,1909,3000
33,2764,733,282,4897,3855,4567,1309,3397
34,596,648,4041,574,257,3209,3280,1029
35,4445,2990,587,3292,2868,740,4970,4883
36,3446,438,3899,4012,1848,1533,1021,942
37,2904,450,3399,3126,817,2108,1691,4260
38,3643,946,202,1806,1863,551,3752,1673
39,2041,904,505,3812,1480,4497,3129,3822
40,2712,281,1029,2661,2354,2392,154,3861
41,2406,2746,4504,1054,2978,3894,2680,2996
42,4951,4104,2666,3058,3969,852,1401,3794
43,3332,127,578,805,3025,113,1968,651
44,4334,1385,64,4000,3989,2503,3517,4700
45,2672,2388,1869,3442,2275,1964,2957,3899
46,3970,4904,699,293,838,4100,4777,4123
47,737,2297,4462,1972,3274,198,1672,2686
48,607,2121,4343,1160,1732,2262,3396,2376
49,596,2305,3718,3420,1132,2004,3592,3222
50,2022,1708,1583,1,692,3147,2548,2787
51,2684,344,4379,3188,4525,828,1850,2222
52,3205,3514,94,2468,3779,405,1210,376
53,3946,2751,498,1439,739,4516,3291,1976
54,1563,461,3675,3124,1839,1469,4737,3467
55,4044,4424,4703,2988,4691,3464,3293,2882
56,2909,335,742,1244,101,2464,2270,175
57,606,3746,4877,3809,1770,849,1091,2174
58,1163,4721,1180,697,4418,2497,2758,3929
59,4048,2052,3311,1748,2905,903,3869,4724
60,4999,4931,605,3687,870,3452,3782,1354
61,101,4791,846,672,3666,3108,238,1306
62,22,1254,401,1007,3192,1702,1735,3419
63,587,831,1609,3206,4796,4548,4851,1338
64,3548,388,2767,3923,1222,1925,710,448
65,351,665,3716,4422,425,4261,1202,3512
66,2713,674,1939,4559,754,1974,4844,4143
67,2688,338,3597,3703,1839,2935,4385,116
68,2685,4506,3247,2547,4719,3405,3959,2634
69,4243,2821,1800,2692,1073,3149,4213,1518
70,1585,2003,2228,2610,3144,3506,4079,4612
71,75,3394,3605,3281,29,1435,2904,3253
72,1639,778,3445,4954,886,613,4187,1093
73,618,1547,4109,2274,2470,4264,929,1403
74,3362,923,100,2355,2393,4831,1609,921
75,3307,285,3731,2350,2871,1,2187,4804
76,2490,4039,2964,1187,2099,4967,2069,4727
77,2177,4202,226,1808,3191,2200,1933,3974
78,3842,267,3079,615,4007,4428,1366,3455
79,2419,3331,4766,628,969,4486,182,2284
80,4290,3135,2381,121,526,223,3677,4333
81,2154,3286,3591,4709,3633,1577,923,3558
82,3110,4192,2545,63,2443,2445,2024,151
83,404,2438,2853,4692,128,1509,1798,2509
84,3826,1108,3981,2023,1160,3253,593,1025
85,3800,3716,4670,2372,3217,1905,1482,117
86,742,825,1910,3594,4589,2128,743,418
87,1925,2961,2277,1864,2415,8,791,1891
88,2207,1783,1617,1180,4592,627,4072,799
89,2139,2615,1874,4721,4518,438,3086,4884
90,3337,1746,2429,101,1410,766,4998,4327
91,4601,2711,3103,1797,4757,2635,124,2790
92,1630,4778,2237,1234,4788,1321,2539,1503
93,2590,3750,4479,2265,509,3138,3273,1409
94,1112,3878,2496,2459,4826,1528,2512,1126
95,1322,1938,3953,3116,1135,3526,4471,2964
96,3438,2168,4379,561,3272,4336,2743,4705
97,4453,1875,1430,2563,3337,2310,3367,613
98,4546,1654,572,3749,902,2310,3748,1290
99,4088,3097,1631,3459,3972,3662,1292,398
100,2533,2130,1179,4039,1712,3989,2490,1170
101,4710,4058,3317,184,3269,4208,2828,4067
102,2287,2350,2823,3929,2542,2599,4148,1041
103,3803,4868,1883,4527,4867,646,4040,1444
104,2740,3431,762,948,3998,4792,626,396
105,2500,3963,3384,2556,4601,3190,4058,3309
106,4100,166,1416,1822,1103,3852,3018,524
107,2684,104,700,3766,449,4950,3801,3468
108,2525,2898,4536,3088,132,2521,214,3357
109,3899,3798,1615,2928,834,4941,1292,1306
110,1384,859,4846,3071,657,3330,2577,2594
111,3106,1511,809,2377,2254,1131,596,4851
112,1441,325,663,80,84,2868,3469,2734
113,1642,849,3143,3807,1732,1361,1154,1843
114,364,4563,2387,698,3479,912,3613,3400
115,4410,2875,2265,2318,79,3373,3164,2046
116,1624,1614,511,4207,4637,2098,2392,1499
117,1777,1219,2322,1345,237,4759,2128,1187
118,3753,3063,374,3233,2475,1408,612,3996
119,2353,1675,1298,4568,2334,4711,1660,4547
120,3550,2696,2634,3544,4498,244,2582,3216
121,2801,1682,3048,798,2504,4561,2275,3717
122,446,1125,4129,3154,1656,2423,1782,1308
123,1632,2057,3385,2016,187,3967,4050,2160
124,4041,4344,1005,2957,3797,4844,4172,3294
125,1065,213,1134,4670,4200,581,495,888
126,4070,4081,2597,4433,2515,166,735,374
127,1519,3258,4362,2786,1201,4621,3783,2548
128,4455,3495,4525,36,4879,61,1822,4252
129,1058,4532,3959,1436,3301,57,4776,3819
130,2590,2290,2974,958,1595,4211,3345,3941
131,2062,770,3836,4355,1859,2196,2549,3835
132,3743,1576,2994,1307,4468,1165,3314,961
133,2306,3493,3947,1535,2747,2781,1230,4517
134,1334,1735,4746,3600,1182,4790,3005,4651
135,2515,2846,2084,3348,3985,3608,4452,1731
136,4178,2989,2087,4646,363,4649,1904,3868
